"filename", "language", "C++", "YAML", "Groovy", "Properties", "Dart", "XML", "Markdown", "JSON", "HTML", "Swift", "comment", "blank", "total"
"/Users/uxderrick/Development/Projects/hostel_hub/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"/Users/uxderrick/Development/Projects/hostel_hub/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"/Users/uxderrick/Development/Projects/hostel_hub/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"/Users/uxderrick/Development/Projects/hostel_hub/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/Users/uxderrick/Development/Projects/hostel_hub/pubspec.yaml", "YAML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 52, 14, 97
"/Users/uxderrick/Development/Projects/hostel_hub/test/widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/uxderrick/Development/Projects/hostel_hub/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 16, 6, 59
"/Users/uxderrick/Development/Projects/hostel_hub/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"/Users/uxderrick/Development/Projects/hostel_hub/windows/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/uxderrick/Development/Projects/hostel_hub/windows/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/uxderrick/Development/Projects/hostel_hub/windows/runner/flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"/Users/uxderrick/Development/Projects/hostel_hub/windows/runner/flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/uxderrick/Development/Projects/hostel_hub/windows/runner/main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/uxderrick/Development/Projects/hostel_hub/windows/runner/resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/uxderrick/Development/Projects/hostel_hub/windows/runner/utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"/Users/uxderrick/Development/Projects/hostel_hub/windows/runner/utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/uxderrick/Development/Projects/hostel_hub/windows/runner/win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"/Users/uxderrick/Development/Projects/hostel_hub/windows/runner/win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 499, 34, 89, 8, 2666, 466, 5, 248, 37, 36, 276, 388, 4752
